문서이름,,freq
남평문씨본리세거지,개방,3
남평문씨본리세거지,멀리,3
남평문씨본리세거지,보고,3
남평문씨본리세거지,코로나,2
남평문씨본리세거지,그냥,2
남평문씨본리세거지,공간,2
남평문씨본리세거지,개인,2
남평문씨본리세거지,공개,2
남평문씨본리세거지,필요,2
남평문씨본리세거지,별로,2
남평문씨본리세거지,생각,2
남평문씨본리세거지,있음,2
남평문씨본리세거지,생활,1
남평문씨본리세거지,인공,1
남평문씨본리세거지,주말,1
남평문씨본리세거지,없고,1
남평문씨본리세거지,란거,1
남평문씨본리세거지,크게,1
남평문씨본리세거지,담벽,1
남평문씨본리세거지,골목,1
남평문씨본리세거지,평일,1
남평문씨본리세거지,오리,1
남평문씨본리세거지,실망할지도,1
남평문씨본리세거지,기대하지,1
남평문씨본리세거지,한정,1
남평문씨본리세거지,좋으나,1
남평문씨본리세거지,설명,1
남평문씨본리세거지,추어,1
남평문씨본리세거지,조심,1
남평문씨본리세거지,현재,1
남평문씨본리세거지,괜찮다,1
남평문씨본리세거지,실망,1
남평문씨본리세거지,나들이,1
남평문씨본리세거지,바람,1
남평문씨본리세거지,있게,1
남평문씨본리세거지,정원,1
남평문씨본리세거지,없거,1
남평문씨본리세거지,굳이,1
남평문씨본리세거지,그게,1
남평문씨본리세거지,사용,1
남평문씨본리세거지,괜찮겠지만,1
남평문씨본리세거지,사시,1
남평문씨본리세거지,근처,1
남평문씨본리세거지,좋았습니다,1
남평문씨본리세거지,같엔,1
남평문씨본리세거지,동네,1
남평문씨본리세거지,아늑한,1
남평문씨본리세거지,자락,1
남평문씨본리세거지,내부,1
남평문씨본리세거지,차이,1
남평문씨본리세거지,둘러보기,1
남평문씨본리세거지,아쉽네요,1
남평문씨본리세거지,수준,1
남평문씨본리세거지,오시,1
남평문씨본리세거지,규모,1
남평문씨본리세거지,크기,1
남평문씨본리세거지,많겠다,1
남평문씨본리세거지,세금,1
남평문씨본리세거지,지름,1
남평문씨본리세거지,소리,1
남평문씨본리세거지,할아버지,1
남평문씨본리세거지,운동,1
남평문씨본리세거지,걷기,1
남평문씨본리세거지,아침,1
남평문씨본리세거지,매일,1
남평문씨본리세거지,있지,1
남평문씨본리세거지,국민,1
남평문씨본리세거지,일반인,1
남평문씨본리세거지,문희갑,1
남평문씨본리세거지,더말,1
남평문씨본리세거지,무우,1
남평문씨본리세거지,배추,1
남평문씨본리세거지,꽃옆,1
남평문씨본리세거지,대문,1
남평문씨본리세거지,담벼락,1
남평문씨본리세거지,안되서,1
남평문씨본리세거지,특별히,1
남평문씨본리세거지,거주지,1
남평문씨본리세거지,인터넷,1
남평문씨본리세거지,도보,1
남평문씨본리세거지,때문,1
남평문씨본리세거지,작기,1
남평문씨본리세거지,전혀,1
남평문씨본리세거지,낭비,1
남평문씨본리세거지,완전,1
남평문씨본리세거지,타고,1
남평문씨본리세거지,택시,1
남평문씨본리세거지,바퀴,1
남평문씨본리세거지,지도,1
남평문씨본리세거지,시내,1
남평문씨본리세거지,많았어요,1
남평문씨본리세거지,곳도,1
남평문씨본리세거지,협소,1
남평문씨본리세거지,없었어요,1
남평문씨본리세거지,금요일,1
남평문씨본리세거지,없어,1
남평문씨본리세거지,가치,1
남평문씨본리세거지,그럴,1
남평문씨본리세거지,볼거리,1
노태우전대통령생가,심했음,1
노태우전대통령생가,외양간,1
노태우전대통령생가,계십니다,1
노태우전대통령생가,길은,1
노태우전대통령생가,좁아서,1
노태우전대통령생가,명색,1
노태우전대통령생가,없는지,1
노태우전대통령생가,구창,1
노태우전대통령생가,장님,1
노태우전대통령생가,시장님,1
노태우전대통령생가,책임자,1
노태우전대통령생가,광역시,1
노태우전대통령생가,국회,1
노태우전대통령생가,위원,1
노태우전대통령생가,가장,1
노태우전대통령생가,같은데,1
노태우전대통령생가,올림픽,1
노태우전대통령생가,치루셨,1
노태우전대통령생가,안타까운,1
노태우전대통령생가,읍니,1
노태우전대통령생가,불편해요,1
노태우전대통령생가,주변,1
노태우전대통령생가,완전,1
노태우전대통령생가,사분,1
노태우전대통령생가,없습니다,1
노태우전대통령생가,시설,1
노태우전대통령생가,봄더,1
노태우전대통령생가,모형,1
노태우전대통령생가,소가,1
노태우전대통령생가,마당,1
노태우전대통령생가,체전,1
노태우전대통령생가,나무,1
노태우전대통령생가,신양,1
노태우전대통령생가,조속,1
노태우전대통령생가,쾌복,1
노태우전대통령생가,빌어,1
노태우전대통령생가,좋았고,1
노태우전대통령생가,전시,1
노태우전대통령생가,사진,1
노태우전대통령생가,감명,1
노태우전대통령생가,깊어습니다,1
노태우전대통령생가,자락,1
노태우전대통령생가,쿡방,1
노태우전대통령생가,공적,1
노태우전대통령생가,높음,1
노태우전대통령생가,철거,1
노태우전대통령생가,초라함,1
노태우전대통령생가,초라해요,1
녹동서원,모습,1
녹동서원,완전히,1
녹동서원,상실했어요,1
녹동서원,아니라,1
녹동서원,서당,1
녹동서원,같아서,1
녹동서원,별로,1
녹동서원,친선,1
녹동서원,투자,1
녹동서원,대비,1
녹동서원,이용,1
녹동서원,부족,1
녹동서원,그냥,1
녹동서원,그런,1
녹동서원,장소,1
대구불로고분군,그냥,3
대구불로고분군,관리,2
대구불로고분군,시설,2
대구불로고분군,분위기,1
대구불로고분군,없습니다,1
대구불로고분군,유명한,1
대구불로고분군,인물,1
대구불로고분군,있을줄,1
대구불로고분군,그것,1
대구불로고분군,많아요,1
대구불로고분군,가문,1
대구불로고분군,권세,1
대구불로고분군,실망,1
대구불로고분군,조용하니,1
대구불로고분군,무료,1
대구불로고분군,조으,1
대구불로고분군,개인,1
대구불로고분군,예뻐,1
대구불로고분군,편의,1
대구불로고분군,조용히,1
대구불로고분군,제대로,1
대구불로고분군,없을듯,1
대구불로고분군,인근,1
대구불로고분군,멋진,1
대구불로고분군,있었다니,1
대구불로고분군,예전,1
대구불로고분군,안되서,1
대구불로고분군,일이,1
대구불로고분군,없고,1
대구불로고분군,로서,1
대구불로고분군,공중화장실,1
대구불로고분군,없는,1
대구불로고분군,많고,1
대구불로고분군,최악,1
대구불로고분군,없슴,1
대구불로고분군,여름,1
대구불로고분군,부재,1
대구옻골마을,길이,2
대구옻골마을,작고,1
대구옻골마을,계셔서,1
대구옻골마을,없어용,1
대구옻골마을,사랑,1
대구옻골마을,발자국,1
대구옻골마을,가면,1
대구옻골마을,실제,1
대구옻골마을,주민,1
대구옻골마을,거주,1
대구옻골마을,보지,1
대구옻골마을,옥집,1
대구옻골마을,관광지,1
대구옻골마을,선정,1
대구옻골마을,관리,1
대구옻골마을,의문,1
대구옻골마을,현대,1
대구옻골마을,양옥,1
대구옻골마을,흔적,1
대구옻골마을,많군요,1
대구옻골마을,별루얌,1
대구옻골마을,작렬,1
대구옻골마을,먼지,1
대구옻골마을,온통,1
대구옻골마을,없어,1
대구옻골마을,크게,1
대구옻골마을,볼거리,1
대구옻골마을,미흡합니다,1
대구옻골마을,동구청,1
대구옻골마을,장님,1
대구옻골마을,신경,1
대구옻골마을,바짝,1
대구옻골마을,조용히,1
대구옻골마을,문중,1
대구옻골마을,있는줄,1
대구옻골마을,프랑스,1
대구옻골마을,오신,1
대구옻골마을,경험,1
대구옻골마을,있어,1
대구옻골마을,깨끗하고,1
대구옻골마을,아늑하고,1
대구옻골마을,불편함,1
도동서원,문화재,2
도동서원,관광객,2
도동서원,마루,2
도동서원,갑질,1
도동서원,무성,1
도동서원,안되네요,1
도동서원,정리,1
도동서원,정돈,1
도동서원,불청,1
도동서원,좁아요,1
도동서원,필암,1
도동서원,엉망,1
도동서원,돈암,1
도동서원,주민,1
도동서원,많으나,1
도동서원,도산,1
도동서원,소수,1
도동서원,병산,1
도동서원,이야기,1
도동서원,관광지,1
도동서원,동네,1
도동서원,옥산,1
도동서원,어수선하고,1
도동서원,시끄러워요,1
도동서원,가득,1
도동서원,회장,1
도동서원,의자,1
도동서원,찬장,1
도동서원,술병,1
도동서원,가득한게,1
도동서원,보이,1
도동서원,보전,1
도동서원,수리,1
도동서원,이해,1
도동서원,유생,1
도동서원,공부,1
도동서원,안전모,1
도동서원,생각,1
도동서원,이럴꺼면,1
도동서원,반납,1
도동서원,성질,1
도동서원,황금,1
도동서원,던데,1
마비정,식혜,4
마비정,여행,4
마비정,마음,3
마비정,커피,3
마비정,크게,3
마비정,멀리,2
마비정,지로,2
마비정,없고,2
마비정,건물,2
마비정,그닥,2
마비정,처음,2
마비정,딱히,2
마비정,물이,2
마비정,없었던것,2
마비정,모습,2
마비정,화장실,2
마비정,인상,2
마비정,관광지,2
마비정,이름,2
마비정,시설,2
마비정,단호박,2
마비정,실망,2
마비정,없었고,2
마비정,관광,1
마비정,마무리,1
마비정,있으니,1
마비정,나쁘지,1
마비정,접근성,1
마비정,건가,1
마비정,며칠,1
마비정,거리,1
마비정,간곳,1
마비정,친절하셨다,1
마비정,아예,1
마비정,잔뜩,1
마비정,위치,1
마비정,거기,1
마비정,평화,1
마비정,억지로,1
마비정,변기,1
마비정,일쑤,1
마비정,패달,1
마비정,대도,1
마비정,종종,1
마비정,판매,1
마비정,흡연,1
마비정,무인,1
마비정,일품,1
마비정,구역,1
마비정,마찬가지,1
마비정,대해,1
마비정,만하,1
마비정,있는데,1
마비정,버튼,1
마비정,달식,1
마비정,멧돌,1
마비정,보이지,1
마비정,당황,1
마비정,간만,1
마비정,제각각,1
마비정,불편합니다,1
마비정,길은,1
마비정,영향,1
마비정,운영,1
마비정,바람,1
마비정,좋음,1
마비정,굳이,1
마비정,필요,1
마비정,없는,1
마비정,솔직히,1
마비정,관광명소,1
마비정,있지만,1
마비정,가벼운,1
마비정,흥미로운것도,1
마비정,정리정돈,1
마비정,안되어있음,1
마비정,오래된,1
마비정,보수,1
마비정,필요하네요,1
마비정,그래요,1
마비정,그랫응,1
마비정,단조,1
마비정,계획,1
마비정,코로나,1
마비정,입부,1
마비정,차량,1
마비정,남지,1
마비정,진입,1
마비정,안내,1
마비정,주인,1
마비정,갈림길,1
마비정,헷갈리네요,1
마비정,방문객,1
마비정,잘못,1
마비정,반대쪽,1
마비정,가능합니다,1
마비정,산속,1
마비정,노인,1
마비정,구경이,1
마비정,힘들어요,1
마비정,중국,1
마비정,많아서,1
마비정,시끄럽습니다,1
마비정,돌기,1
마비정,아닌듯,1
마비정,번은,1
마비정,없었습니다,1
마비정,그다지,1
마비정,아주머니,1
마비정,포토,1
마비정,있었는데,1
마비정,칠해졌다면,1
마비정,어렵게,1
마비정,특별하거나,1
마비정,관심,1
마비정,없었음,1
마비정,안됨,1
마비정,오르막,1
마비정,교통,1
마비정,이제일,1
마비정,불편함,1
마비정,월욜날,1
마비정,모금,1
마비정,별것,1
마비정,아님,1
마비정,실망함,1
마비정,담벼락,1
마비정,시멘트,1
마비정,발라,1
마비정,흉내,1
마비정,예나,1
마비정,분노할듯,1
마비정,취향,1
마비정,카페,1
마비정,낙서,1
마비정,따가운,1
마비정,햇살,1
마비정,정비,1
마비정,전혀,1
마비정,잡초,1
마비정,무성,1
마비정,이정표,1
마비정,완전,1
마비정,달성군,1
마비정,양반,1
마비정,좀해,1
마비정,대표,1
마비정,길이,1
마비정,좁아서,1
마비정,교행,1
마비정,안되요,1
마비정,도심,1
마비정,즐거웠어요,1
마비정,함부로,1
마비정,지금,1
마비정,관리,1
마비정,좋았음,1
마비정,독창,1
마비정,아쉬워서,1
마비정,통일,1
마비정,기대합니다,1
마비정,조형,1
마비정,초입,1
마비정,있고요,1
마비정,있는데요,1
마비정,물레방아,1
마비정,시원하지만,1
마비정,맛있었던것,1
마비정,종착,1
마비정,선택,1
마비정,이란,1
마비정,흔한,1
마비정,보지,1
마비정,야한다,1
마비정,중심,1
마비정,제법,1
마비정,넓은,1
마비정,양식,1
마비정,건축,1
마비정,다양한,1
마비정,현대,1
마비정,미를,1
마비정,입구,1
마비정,맛있는,1
마비정,할머니,1
마비정,계신,1
마비정,좋았는데요,1
마비정,위로,1
마비정,고택,1
마비정,유럽,1
마비정,넓지도,1
마비정,뒤죽박죽,1
마비정,같아서,1
마비정,개인,1
마비정,아쉬웠어요,1
마비정,없으면,1
마비정,뭔가,1
마비정,특징,1
마비정,좋겠어요,1
마비정,쇠퇴하는,1
모명재,지금,1
모명재,매일,1
모명재,아침,1
모명재,선비,1
모명재,소리,1
모명재,이름,1
모명재,잔차,1
모명재,힘들었어요,1
모명재,한번,1
모명재,고장,1
모명재,위인,1
선사유적공원,외국인,2
선사유적공원,노동자,2
선사유적공원,바가지,2
선사유적공원,근처,2
선사유적공원,입장,1
