문서이름,,freq
영평사템플스테이,대웅,1
영평사템플스테이,그렇다는데,1
영평사템플스테이,안되어,1
영평사템플스테이,들판,1
영평사템플스테이,잡풀,1
영평사템플스테이,실망,1
영평사템플스테이,스러워서,1
영평사템플스테이,뻔했네요,1
영평사템플스테이,태풍,1
영평사템플스테이,장마,1
영평사템플스테이,안되서,1
영평사템플스테이,아까웠어요,1
영평사템플스테이,머리,1
영평사템플스테이,불편,1
영평사템플스테이,정리정돈,1
영평사템플스테이,보고,1
영평사템플스테이,실망했음,1
영평사템플스테이,속세,1
영평사템플스테이,같아,1
영평사템플스테이,아쉽네요,1
영평사템플스테이,읍니,1
영평사템플스테이,평범한,1
영평사템플스테이,정리,1
영평사템플스테이,공사,1
영평사템플스테이,곳곳,1
영평사템플스테이,다시,1
영평사템플스테이,어지럽고,1
영평사템플스테이,눌려,1
영평사템플스테이,어지러운,1
영평사템플스테이,처음,1
영평사템플스테이,가까워도,1
영평사템플스테이,신원사,1
영평사템플스테이,공주시,1
영평사템플스테이,여름,1
영평사템플스테이,폭염,1
영평사템플스테이,인지,1
영평사템플스테이,초라할,1
영평사템플스테이,정도,1
영평사템플스테이,스님,1
영평사템플스테이,담배,1
영평사템플스테이,조아요,1
영평사템플스테이,글쎄요,1
영평사템플스테이,예쁨,1
영평사템플스테이,작년,1
영평사템플스테이,이뻐서,1
영평사템플스테이,그러,1
