문서이름,,freq
두동면천전리각석,휠체어,1
두동면천전리각석,갈수,1
두동면천전리각석,없다,1
반구대암각화,입구,3
반구대암각화,제대로,2
반구대암각화,아버지,2
반구대암각화,없습니다,2
반구대암각화,국보,2
반구대암각화,공사,2
반구대암각화,내외,2
반구대암각화,깊이,1
반구대암각화,길도,1
반구대암각화,고향,1
반구대암각화,보이지,1
반구대암각화,안되어,1
반구대암각화,소홀,1
반구대암각화,언양읍,1
반구대암각화,부족,1
반구대암각화,관람,1
반구대암각화,미비,1
반구대암각화,시설,1
반구대암각화,등제,1
반구대암각화,울주,1
반구대암각화,시오,1
반구대암각화,문화재,1
반구대암각화,별로,1
반구대암각화,명절,1
반구대암각화,나들이,1
반구대암각화,갑자기,1
반구대암각화,바람,1
반구대암각화,햇볕,1
반구대암각화,따뜻해서,1
반구대암각화,다리,1
반구대암각화,헛걸음,1
반구대암각화,아쉬웠다,1
반구대암각화,구경,1
반구대암각화,은편,1
반구대암각화,계시,1
반구대암각화,보고,1
반구대암각화,대접,1
반구대암각화,수준,1
반구대암각화,서로,1
반구대암각화,지식,1
반구대암각화,있지,1
반구대암각화,위치,1
반구대암각화,조그마한자,1
반구대암각화,연산,1
반구대암각화,민물,1
반구대암각화,서울,1
반구대암각화,친규,1
반구대암각화,해운대,1
반구대암각화,친구,1
반구대암각화,점심식사,1
반구대암각화,동동주,1
반구대암각화,한잔,1
반구대암각화,추억,1
반구대암각화,상당한,1
반구대암각화,아름다운,1
반구대암각화,광속,1
반구대암각화,주민,1
반구대암각화,분쟁,1
반구대암각화,인하여,1
반구대암각화,의문,1
반구대암각화,듭니,1
반구대암각화,전혀,1
반구대암각화,안되며,1
반구대암각화,볼거리,1
반구대암각화,거리,1
반구대암각화,번은,1
반구대암각화,대한,1
반구대암각화,그렇,1
석남사,별로,4
석남사,주변,2
석남사,구경,2
석남사,오래된,2
석남사,없다,2
석남사,정도,2
석남사,차비,2
석남사,정작,1
석남사,소요,1
석남사,거목,1
석남사,수종,1
석남사,다양한,1
석남사,아쉽습니다,1
석남사,도보,1
석남사,목적,1
석남사,없어,1
석남사,입장,1
석남사,막상,1
석남사,높지는,1
석남사,즐거움,1
석남사,아쉬우니,1
석남사,리기,1
석남사,여러,1
석남사,명소,1
석남사,계획,1
석남사,진행,1
석남사,좋겠습니다,1
석남사,여승,1
석남사,거처,1
석남사,수덕사,1
석남사,내원사,1
석남사,운문사,1
석남사,사회,1
석남사,종교,1
석남사,개판,1
석남사,이용,1
석남사,차이,1
석남사,지역,1
석남사,성인,1
석남사,없는,1
석남사,아이러니,1
석남사,절임,1
석남사,사진,1
석남사,투어,1
석남사,재미없는,1
석남사,처음,1
석남사,진심,1
석남사,추천,1
석남사,드림,1
석남사,한적하고,1
석남사,공사,1
석남사,관계,1
석남사,이미지,1
석남사,있는게,1
석남사,아쉬웠다,1
석남사,그다지,1
석남사,없는데,1
석남사,이해,1
석남사,안되네요,1
석남사,좋았다,1
석남사,기역,1
석남사,없고,1
석남사,아까워요,1
석남사,같은,1
석남사,울산,1
석남사,시민,1
석남사,의미,1
외솔생가및기념관,있지만,2
외솔생가및기념관,최씨,1
외솔생가및기념관,가장,1
외솔생가및기념관,위대한,1
외솔생가및기념관,교육학자,1
외솔생가및기념관,이자,1
외솔생가및기념관,학자,1
외솔생가및기념관,출생지,1
외솔생가및기념관,있지,1
외솔생가및기념관,애니메이션,1
외솔생가및기념관,품질,1
외솔생가및기념관,좋지,1
외솔생가및기념관,실망,1
외솔생가및기념관,스럽습니다,1
울산동헌및내아,결혼식,2
울산동헌및내아,정취,2
울산동헌및내아,가을,2
