문서이름,,freq
고산윤선도유적지,자료,1
고산윤선도유적지,박물,1
고산윤선도유적지,확인,1
고산윤선도유적지,가능하다,1
고산윤선도유적지,이해,1
고산윤선도유적지,파악,1
고산윤선도유적지,한눈,1
고산윤선도유적지,전체,1
고산윤선도유적지,관외,1
고산윤선도유적지,안되있고,1
고산윤선도유적지,부족하고,1
고산윤선도유적지,전혀,1
고산윤선도유적지,관리,1
고산윤선도유적지,활용,1
고산윤선도유적지,제대로,1
고산윤선도유적지,건물,1
고산윤선도유적지,멀쩡한,1
고산윤선도유적지,안되고,1
고산윤선도유적지,가세,1
금성산성,보존,1
금성산성,가야,1
금성산성,고생,1
금성산성,진탕,1
금성산성,군청,1
금성산성,제대로,1
금성산성,엉터리,1
금성산성,탐방,1
금성산성,안내,1
금성산성,평범해요,1
김환기고택,엉망,2
김환기고택,한장,2
김환기고택,뭔가,2
김환기고택,준비,1
김환기고택,기록,1
김환기고택,리기,1
김환기고택,기념,1
김환기고택,부족해,1
김환기고택,주차공간,1
김환기고택,부족,1
김환기고택,장소,1
김환기고택,불가,1
김환기고택,물이,1
김환기고택,없었습니다만,1
김환기고택,집외,1
김환기고택,아무런,1
김환기고택,분도,1
김환기고택,없고,1
김환기고택,없어,1
김환기고택,아쉬웠습니다,1
김환기고택,건물,1
김환기고택,카피,1
김환기고택,거장,1
김환기고택,바람,1
김환기고택,별로,1
김환기고택,없었어요,1
김환기고택,관광지,1
김환기고택,좋겠네요,1
김환기고택,헛걸음,1
김환기고택,머리,1
김환기고택,허비한듯,1
김환기고택,실망함,1
김환기고택,썰렁,1
김환기고택,수리,1
김환기고택,달랑,1
김환기고택,진짜,1
김환기고택,기대,1
김환기고택,이력,1
김환기고택,괜찮지,1
김환기고택,명성,1
김환기고택,집터,1
김환기고택,가품,1
김환기고택,구경,1
낙안읍성민속마을,없고,5
낙안읍성민속마을,그냥,4
낙안읍성민속마을,평일,3
낙안읍성민속마을,운영,3
낙안읍성민속마을,다시,2
낙안읍성민속마을,없는데,2
낙안읍성민속마을,주말,2
낙안읍성민속마을,정취,2
낙안읍성민속마을,보기,2
낙안읍성민속마을,식당,2
낙안읍성민속마을,문물,2
낙안읍성민속마을,별로,2
낙안읍성민속마을,없는,2
낙안읍성민속마을,지로,1
낙안읍성민속마을,취향,1
낙안읍성민속마을,찿다,1
낙안읍성민속마을,근처,1
낙안읍성민속마을,흥미,1
낙안읍성민속마을,루얐,1
낙안읍성민속마을,겨울,1
낙안읍성민속마을,결정,1
낙안읍성민속마을,개도,1
낙안읍성민속마을,프로그램,1
낙안읍성민속마을,여수,1
낙안읍성민속마을,정신,1
낙안읍성민속마을,서비스,1
낙안읍성민속마을,발전,1
낙안읍성민속마을,참으로,1
낙안읍성민속마을,이유,1
낙안읍성민속마을,굳이,1
낙안읍성민속마을,넖지,1
낙안읍성민속마을,특별한,1
낙안읍성민속마을,지역,1
낙안읍성민속마을,해미읍성,1
낙안읍성민속마을,박하고,1
낙안읍성민속마을,표시,1
낙안읍성민속마을,있는데,1
낙안읍성민속마을,곳곳,1
낙안읍성민속마을,클래식,1
낙안읍성민속마을,넓고,1
낙안읍성민속마을,공간,1
낙안읍성민속마을,일부,1
낙안읍성민속마을,낙악,1
낙안읍성민속마을,관광지,1
낙안읍성민속마을,애매한,1
낙안읍성민속마을,장면,1
낙안읍성민속마을,싫은,1
낙안읍성민속마을,차량,1
낙안읍성민속마을,좀더,1
낙안읍성민속마을,그런지,1
