문서이름,,freq
각원사,시내,2
각원사,아님,2
각원사,대한민국,2
각원사,있을,2
각원사,개인,2
각원사,아늑함도,1
각원사,없고,1
각원사,그러하듯이,1
각원사,대부분,1
각원사,전통,1
각원사,내년,1
각원사,소개,1
각원사,으뜸,1
각원사,화가,1
각원사,버들,1
각원사,사인,1
각원사,천안시,1
각원사,낯선,1
각원사,대한,1
각원사,없다,1
각원사,여러가지,1
각원사,별루,1
각원사,소원,1
각원사,관광,1
각원사,장애인,1
각원사,힐링,1
각원사,오늘,1
각원사,시설,1
각원사,각오,1
각원사,좁아,1
각원사,길이,1
각원사,동시,1
각원사,차량,1
각원사,좋음,1
각원사,좋다보다는,1
각원사,큰절,1
각원사,고민,1
각원사,가능한,1
각원사,휴식,1
각원사,집들이,1
각원사,커피,1
각원사,입구,1
각원사,괜찮은,1
각원사,상관없이,1
각원사,종교,1
각원사,선호,1
각원사,미흡하나,1
각원사,배려,1
각원사,행복한,1
각원사,그냥,1
각원사,불가하다,1
각원사,있는지,1
각원사,불사,1
각원사,계속,1
각원사,잡고,1
각원사,넓게,1
각원사,좋다는,1
각원사,많은지,1
각원사,교회,1
각원사,도처,1
각원사,전국,1
각원사,시골,1
각원사,번성,1
각원사,제대로,1
각원사,우리나라,1
각원사,종교개혁,1
각원사,누군가,1
각원사,감정,1
각원사,거대,1
각원사,가까운,1
각원사,이해,1
각원사,막대,1
각원사,아래,1
각원사,자금,1
각원사,하늘,1
각원사,찬란한,1
각원사,아늑하다,1
각원사,나들이,1
각원사,평온했다,1
각원사,정겹운,1
각원사,두번째,1
각원사,올해,1
각원사,부부,1
각원사,고해,1
각원사,오자,1
각원사,다시,1
각원사,산행,1
각원사,우뚝,1
각원사,초강대국,1
각원사,위해,1
각원사,국민,1
각원사,국가,1
각원사,건설,1
각원사,가야,1
간월암,보수,2
간월암,조그만,2
간월암,겸사,2
간월암,목적,1
간월암,조그마한,1
간월암,지은,1
간월암,운치,1
간월암,많은,1
간월암,찿던,1
간월암,지금,1
간월암,판자집,1
간월암,흉물,1
간월암,멀리,1
간월암,특정,1
간월암,딱히,1
간월암,있는게,1
간월암,있다는거,1
간월암,매력,1
간월암,아님,1
간월암,관광,1
간월암,정도,1
간월암,굴밥,1
간월암,조용하고,1
