문서이름,,freq
구인사,가지,5
구인사,요금,4
구인사,완전,4
구인사,그냥,4
구인사,사진,4
구인사,아니고,3
구인사,택시,3
구인사,차량,3
구인사,없는,3
구인사,거기,3
구인사,현금,3
구인사,분위기,3
구인사,다시,3
구인사,조사,3
구인사,냄새,3
구인사,콘크리트,3
구인사,불상,3
구인사,보살,3
구인사,불쾌감,2
구인사,터미널,2
구인사,데리,2
구인사,장소,2
구인사,본당,2
구인사,없어서,2
구인사,급경사,2
구인사,변절,2
구인사,입장료,2
구인사,바글,2
구인사,힘들지만,2
구인사,경비원,2
구인사,산이,2
구인사,나비,2
구인사,아니지만,2
구인사,가시,2
구인사,현대,2
구인사,절하,2
구인사,없고,2
구인사,뭔가,2
구인사,아닌,2
구인사,불친절,2
구인사,사이비,2
구인사,얼굴,2
구인사,번은,2
구인사,흔히,2
구인사,풍경,2
구인사,계속,2
구인사,걷기,2
구인사,대웅전,2
구인사,가면,2
구인사,조용하고,2
구인사,기분,2
구인사,아님,2
구인사,전통,2
구인사,보이지,2
구인사,보고,2
구인사,뻘뻘,2
구인사,진짜,2
구인사,카드,2
구인사,무조건,2
구인사,없었습니다,2
구인사,별로,2
구인사,이미지,2
구인사,개인,2
구인사,있는데,2
구인사,수가,2
구인사,하이킹,1
구인사,템플스테이,1
구인사,안됨,1
구인사,필요,1
구인사,감흥,1
구인사,작은,1
구인사,없었네요,1
구인사,편도,1
구인사,기념관,1
구인사,성화,1
구인사,짧은거리,1
구인사,애매하고,1
구인사,있음,1
구인사,나쁩니다,1
구인사,전함,1
구인사,멀고,1
구인사,의미,1
구인사,절대,1
구인사,내리막,1
구인사,대관령,1
구인사,필수,1
구인사,도달,1
구인사,서비스,1
구인사,오래된,1
구인사,체인,1
구인사,음지,1
구인사,안듬,1
구인사,좋음,1
구인사,빼기,1
구인사,대학,1
구인사,아니므로,1
구인사,차비,1
구인사,가요,1
구인사,가파른,1
구인사,힘들어서,1
구인사,아무런,1
구인사,사유,1
구인사,기업,1
구인사,안감,1
구인사,이용,1
구인사,부족,1
구인사,느깜,1
구인사,관악산,1
구인사,가볍게,1
구인사,관광객,1
구인사,착각,1
구인사,엄청나게,1
구인사,거북해,1
구인사,봉천,1
구인사,이상해,1
구인사,마을,1
구인사,엘리베이터,1
구인사,있었구요,1
구인사,위치,1
구인사,나라,1
구인사,반복,1
구인사,좋으나,1
구인사,높네,1
구인사,더럽게,1
구인사,창피하다,1
구인사,정체,1
