문서이름,,freq
김삿갓유적지,라면,2
김삿갓유적지,정도,2
김삿갓유적지,내용,2
김삿갓유적지,심통,2
김삿갓유적지,에어컨,2
김삿갓유적지,경험,1
김삿갓유적지,기대,1
김삿갓유적지,검색,1
김삿갓유적지,협소,1
김삿갓유적지,한정,1
김삿갓유적지,나쁘지,1
김삿갓유적지,골짝,1
김삿갓유적지,아님,1
김삿갓유적지,유료,1
김삿갓유적지,작은,1
김삿갓유적지,작고,1
김삿갓유적지,규모,1
김삿갓유적지,아까웟음,1
김삿갓유적지,비싸요,1
김삿갓유적지,이나,1
김삿갓유적지,없습니다,1
김삿갓유적지,필요,1
김삿갓유적지,앖을듯,1
김삿갓유적지,거리,1
김삿갓유적지,멀고,1
김삿갓유적지,없는,1
김삿갓유적지,교통,1
김삿갓유적지,불편합니다,1
김삿갓유적지,시내버스,1
김삿갓유적지,야합니다,1
김삿갓유적지,가볍게,1
김삿갓유적지,솔직히,1
김삿갓유적지,컨텐츠,1
김삿갓유적지,대조,1
김삿갓유적지,약했어요,1
김삿갓유적지,없다,1
김삿갓유적지,아깝다,1
김삿갓유적지,아깝네요,1
김삿갓유적지,아까웠어요,1
김삿갓유적지,무더운,1
김삿갓유적지,날씨,1
김삿갓유적지,에어콘,1
김삿갓유적지,빵빵,1
김삿갓유적지,활짝,1
김삿갓유적지,시원하지,1
김삿갓유적지,바깥,1
김삿갓유적지,더운,1
김삿갓유적지,근무,1
김삿갓유적지,사람,1
김삿갓유적지,관객,1
김삿갓유적지,구경오,1
김삿갓유적지,싫어해서,1
김삿갓유적지,덥게,1
김삿갓유적지,민화,1
김삿갓유적지,친절하고,1
김삿갓유적지,해설,1
김삿갓유적지,아니라,1
김삿갓유적지,나쁜,1
김삿갓유적지,가라,1
김삿갓유적지,그다지,1
김유정문학마을,예전,4
김유정문학마을,유료,4
김유정문학마을,없었음,2
김유정문학마을,별로,2
김유정문학마을,진짜,2
김유정문학마을,개방,2
김유정문학마을,입장권,2
김유정문학마을,월요일,2
김유정문학마을,없고,2
김유정문학마을,가기,2
김유정문학마을,불친절하여,2
김유정문학마을,공짜,2
김유정문학마을,없다,2
김유정문학마을,그닥,1
김유정문학마을,막상,1
김유정문학마을,불쾌했습니다,1
김유정문학마을,예산,1
김유정문학마을,계신,1
김유정문학마을,거기,1
김유정문학마을,세트,1
김유정문학마을,사면,1
김유정문학마을,화관,1
김유정문학마을,젊은,1
김유정문학마을,좋은데,1
김유정문학마을,흔적,1
김유정문학마을,둘러보기,1
김유정문학마을,깔끔하니,1
김유정문학마을,찍기,1
김유정문학마을,전차,1
김유정문학마을,인근,1
김유정문학마을,없는데,1
김유정문학마을,감상,1
김유정문학마을,제대로,1
김유정문학마을,고도,1
김유정문학마을,매우,1
김유정문학마을,직원,1
김유정문학마을,여유,1
김유정문학마을,낭비한,1
김유정문학마을,아닌듯,1
김유정문학마을,보임,1
김유정문학마을,가도,1
김유정문학마을,재미없다,1
김유정문학마을,부족하다,1
김유정문학마을,무언가,1
김유정문학마을,없구나,1
김유정문학마을,없는,1
김유정문학마을,평가,1
김유정문학마을,나로,1
김유정문학마을,아쉽,1
김유정문학마을,운영,1
김유정문학마을,크리스마스,1
김유정문학마을,부족,1
김유정문학마을,가능,1
김유정문학마을,낭비,1
김유정문학마을,단순한,1
김유정문학마을,세금,1
김유정문학마을,없었는데,1
김유정문학마을,깔끔합니다만,1
김유정문학마을,전체,1
김유정문학마을,넓고,1
김유정문학마을,주차,1
김유정문학마을,상업,1
김유정문학마을,발길,1
김유정문학마을,서운함에,1
김유정문학마을,달라,1
김유정문학마을,모습,1
김유정문학마을,이나,1
김유정문학마을,아니다,1
김유정문학마을,지금,1
김유정문학마을,전혀,1
김유정문학마을,비싼,1
김유정문학마을,일부러,1
김유정문학마을,화장실,1
김유정문학마을,휴무,1
김유정문학마을,그런거,1
김유정문학마을,제주도,1
김유정문학마을,수입,1
김유정문학마을,관광,1
김유정문학마을,구색,1
김유정문학마을,그냥,1
김유정문학마을,웃옷,1
김유정문학마을,더워서,1
김유정문학마을,사실,1
김유정문학마을,가동,1
김유정문학마을,히터,1
김유정문학마을,요구,1
김유정문학마을,재차,1
김유정문학마을,제시,1
김유정문학마을,딴전,1
김유정문학마을,여직원,1
