문서이름,,freq
광릉,신제,1
광릉,안되네요,1
광릉,별로,1
광릉,지정,1
광릉,보고,1
광릉,거리,1
광릉,미터,1
광릉,있지,1
광릉,환경,1
광릉,관찰,1
광릉,자연도,1
광릉,지금,1
광릉,주기,1
광릉,반입,1
광릉,도시락,1
광릉,돗자리,1
광릉,부족해요,1
광릉,보기,1
광릉,거행,1
광릉,제례,1
광릉,하늘,1
광릉,청명,1
광릉,한적해서,1
남한산성행궁,백숙,3
남한산성행궁,정체,2
남한산성행궁,있음,2
남한산성행궁,그냥,2
남한산성행궁,아님,2
남한산성행궁,정도,2
남한산성행궁,힘들어요,1
남한산성행궁,아까운,1
남한산성행궁,안되어,1
남한산성행궁,설명,1
남한산성행궁,볼거리,1
남한산성행궁,그래요,1
남한산성행궁,야경,1
남한산성행궁,공사,1
남한산성행궁,임팩트,1
남한산성행궁,마을,1
남한산성행궁,결과,1
남한산성행궁,뭔가,1
남한산성행궁,때문,1
남한산성행궁,성안,1
남한산성행궁,사실,1
남한산성행궁,있지는,1
남한산성행궁,입구,1
남한산성행궁,보통,1
남한산성행궁,직통,1
남한산성행궁,휴일,1
남한산성행궁,주의,1
남한산성행궁,택시,1
남한산성행궁,아닙니다,1
남한산성행궁,좋다고,1
남한산성행궁,그다지,1
남한산성행궁,요금,1
남한산성행궁,아쉬웠음,1
남한산성행궁,행궁터,1
남한산성행궁,구경,1
남한산성행궁,구지,1
남한산성행궁,규모,1
남한산성행궁,의미,1
남한산성행궁,문제,1
남한산성행궁,율때,1
남한산성행궁,오전,1
남한산성행궁,경비,1
남한산성행궁,자동차,1
남한산성행궁,파킹,1
남한산성행궁,자연인,1
남한산성행궁,행복하게,1
남한산성행궁,달래,1
남한산성행궁,직원,1
남한산성행궁,힐링,1
남한산성행궁,사진,1
남한산성행궁,피톤치드,1
남한산성행궁,소나무,1
남한산성행궁,진입,1
남한산성행궁,좋을듯,1
남한산성행궁,불가능하다고,1
남한산성행궁,도착,1
남한산성행궁,이전,1
남한산성행궁,유리,1
남한산성행궁,없고,1
남한산성행궁,함박눈,1
남한산성행궁,지역,1
남한산성행궁,겨울,1
남한산성행궁,딜때,1
남한산성행궁,저녁,1
남한산성행궁,힘들었습니다,1
남한산성행궁,불쾌하고,1
남한산성행궁,경직,1
남한산성행궁,불친절하고,1
남한산성행궁,답답할,1
남한산성행궁,안내,1
남한산성행궁,별로,1
남한산성행궁,달리,1
남한산성행궁,도오,1
남한산성행궁,끼리,1
남한산성행궁,단체,1
남한산성행궁,높긴한데,1
남한산성행궁,차로,1
대원사템플스테이,사주지,1
대원사템플스테이,소임,1
대원사템플스테이,정오,1
대원사템플스테이,화이팅,1
대원사템플스테이,공사,1
동구릉,사람,2
동구릉,주변,1
동구릉,없는,1
동구릉,있었고,1
동구릉,유일한,1
동구릉,영어,1
동구릉,처음,1
동구릉,한국,1
동구릉,현장,1
동구릉,아무런,1
동구릉,문제,1
동구릉,있었습니다,1
동구릉,불구,1
동구릉,정말,1
동구릉,특별히,1
동구릉,운전,1
동구릉,일방,1
동구릉,통행,1
동구릉,분위기,1
동구릉,피톤,1
동구릉,직원,1
동구릉,도착,1
동구릉,정비,1
동구릉,영업,1
동구릉,더러운,1
동구릉,하천,1
동구릉,때문,1
동구릉,검은색,1
동구릉,벌레,1
동구릉,깔따구,1
동구릉,기승,1
동구릉,머리,1
동구릉,관리인,1
동구릉,깡패,1
동구릉,벤치,1
동구릉,요즘,1
동구릉,세금,1
동구릉,월급,1
동구릉,그것,1
동구릉,추천,1
동구릉,정상,1
동구릉,치드,1
명성황후생가,인물,2
명성황후생가,내용,2
명성황후생가,민비,2
명성황후생가,관광지,1
명성황후생가,볼거리,1
명성황후생가,야외,1
명성황후생가,코로나,1
명성황후생가,동네,1
명성황후생가,같은,1
명성황후생가,읍니,1
명성황후생가,미화,1
명성황후생가,아닌가,1
명성황후생가,경치,1
명성황후생가,아닌지,1
명성황후생가,별거,1
명성황후생가,좋겠습니다,1
명성황후생가,있었으면,1
명성황후생가,헛탕쳤음,1
명성황후생가,좋았는데,1
명성황후생가,어제,1
명성황후생가,찬양,1
명성황후생가,수준,1
명성황후생가,개선,1
명성황후생가,필요하다,1
명성황후생가,나라,1
명성황후생가,외척,1
명성황후생가,뮤지컬,1
명성황후생가,평가,1
명성황후생가,낡은,1
명성황후생가,자료,1
명성황후생가,로움,1
명성황후생가,좌파,1
명성황후생가,사고,1
명성황후생가,전시,1
명성황후생가,변했더군요,1
명성황후생가,없었을까,1
명성황후생가,없다,1
명성황후생가,여주시,1
명성황후생가,대가리,1
명성황후생가,에바,1
명성황후생가,좋겠다,1
명성황후생가,순종,1
명성황후생가,오페라,1
명성황후생가,이야기,1
명성황후생가,많고,1
명성황후생가,척족,1
명성황후생가,세도정치,1
명성황후생가,인한,1
명성황후생가,폐해,1
명성황후생가,부정,1
명성황후생가,없어,1
명성황후생가,잘못,1
명성황후생가,지식,1
명성황후생가,전달,1
명성황후생가,아기자기하고,1
명성황후생가,보기,1
명성황후생가,볼기,1
명성황후생가,풍물놀이,1
명성황후생가,거리,1
명성황후생가,없어서,1
명성황후생가,심심해,1
명성황후생가,하넹,1
명성황후생가,구국,1
명성황후생가,영웅,1
명성황후생가,포장,1
명성황후생가,신격화,1
명성황후생가,상징,1
명성황후생가,썰렁해요,1
미리내성지,별로,2
미리내성지,사계절,1
미리내성지,주보,1
미리내성지,안되어,1
미리내성지,공원,1
미리내성지,집앞,1
미리내성지,무교,1
미리내성지,넓긴한데,1
미리내성지,안내,1
미리내성지,산새,1
미리내성지,왜케,1
미리내성지,쫄깃쫄,1
미리내성지,심장,1
미리내성지,좋아었요,1
미리내성지,장관,1
미리내성지,풍경,1
미리내성지,슬픔,1
백련사템플스테이,초파일,2
백련사템플스테이,법당,2
백련사템플스테이,관련,1
백련사템플스테이,미리,1
백련사템플스테이,당시,1
백련사템플스테이,계단,1
백련사템플스테이,공사,1
백련사템플스테이,등달,1
백련사템플스테이,귀가,1
백련사템플스테이,한적하고,1
백련사템플스테이,조용하게,1
백련사템플스테이,심신,1
백련사템플스테이,적합한,1
백련사템플스테이,구경,1
백련사템플스테이,가기,1
백련사템플스테이,좋지,1
서삼릉,시설,4
서삼릉,인해,2
서삼릉,규모,2
서삼릉,그냥,2
서삼릉,작고,2
서삼릉,예전,2
서삼릉,짧은,2
서삼릉,상당수,1
서삼릉,안타깝습니다,1
서삼릉,불법,1
서삼릉,양옆,1
서삼릉,진입,1
서삼릉,날씨,1
서삼릉,계속,1
서삼릉,만족,1
서삼릉,가까이,1
서삼릉,능역,1
서삼릉,고양시,1
서삼릉,이전,1
서삼릉,개량,1
서삼릉,있다는,1
서삼릉,군사정권,1
서삼릉,차지,1
서삼릉,대부분,1
서삼릉,오도,1
서삼릉,지금,1
서삼릉,해치,1
서삼릉,경관,1
서삼릉,훼손,1
서삼릉,부지,1
서삼릉,축협,1
서삼릉,대학,1
서삼릉,골프장,1
서삼릉,시절,1
서삼릉,수준,1
서삼릉,가도,1
서삼릉,배려,1
서삼릉,개발,1
서삼릉,작음,1
서삼릉,크기,1
서삼릉,볼껀없다,1
서삼릉,한적,1
서삼릉,짧아요,1
서삼릉,횡하,1
서삼릉,아쉽다,1
서삼릉,대비,1
서삼릉,가격,1
서삼릉,진짜,1
서삼릉,테이블,1
서삼릉,맹맛,1
서삼릉,떡볶이,1
서삼릉,한계,1
서삼릉,인한,1
서삼릉,한쪽,1
서삼릉,환경,1
서삼릉,미비,1
서삼릉,협소,1
서삼릉,협소합니,1
서삼릉,컨텐츠,1
서삼릉,괜찮은,1
서삼릉,도움,1
서삼릉,교육,1
서삼릉,데리,1
서삼릉,그렇고,1
서삼릉,일부러,1
서삼릉,좁아서,1
서삼릉,작아요,1
서삼릉,후진,1
서삼릉,부족한것,1
서삼릉,사용,1
서삼릉,대한,1
서삼릉,휴식,1
서삼릉,도저히,1
서삼릉,종축,1
서삼릉,택했으,1
서삼릉,행사,1
서삼릉,탐방,1
서삼릉,끼리,1
서삼릉,동창생,1
서삼릉,엄동설한,1
서삼릉,좋다,1
서삼릉,동네,1
서삼릉,계획,1
서삼릉,새로운,1
서삼릉,공간,1
서삼릉,고양시민,1
서삼릉,불가,1
서삼릉,있었고,1
서삼릉,잔디,1
서삼릉,있었오나,1
서삼릉,아래,1
서삼릉,이예,1
서삼릉,상하,1
서삼릉,기분,1
서삼릉,그런,1
서삼릉,없어서,1
서삼릉,일이,1
서삼릉,목적,1
