문서이름,,freq
고려동유적지,별거,1
고려동유적지,조용해요,1
남계서원,건축물,1
남계서원,공사,1
남계서원,아무,1
남계서원,헛탕,1
남계서원,입니당,1
남계서원,소소하네요,1
남계서원,별거,1
남계서원,학자,1
남계서원,함양군,1
남계서원,지곡면,1
내원사,안주,1
내원사,려고,1
내원사,왕복,1
내원사,많음,1
노무현대통령생가,느낌,2
노무현대통령생가,뭐햇노,2
노무현대통령생가,대하,1
노무현대통령생가,안타까웠습니다,1
노무현대통령생가,화장실,1
노무현대통령생가,실망,1
노무현대통령생가,불쌍하게,1
노무현대통령생가,감정,1
노무현대통령생가,군대,1
노무현대통령생가,이기,1
노무현대통령생가,심심하면,1
노무현대통령생가,뺑뺑,1
노무현대통령생가,부디,1
노무현대통령생가,햇습,1
노무현대통령생가,면됏,1
노무현대통령생가,상업성,1
노무현대통령생가,짙네요,1
노무현대통령생가,예전,1
노무현대통령생가,좋아서,1
노무현대통령생가,그냥,1
노무현대통령생가,신발,1
노무현대통령생가,없고,1
노무현대통령생가,날씨,1
노무현대통령생가,경제,1
노무현대통령생가,소홀히,1
노무현대통령생가,영명,1
노무현대통령생가,누가,1
노무현대통령생가,상이,1
노무현대통령생가,당선,1
노무현대통령생가,과정,1
노무현대통령생가,사기,1
노무현대통령생가,유리한,1
노무현대통령생가,여론,1
노무현대통령생가,김대업,1
노무현대통령생가,특별,1
노무현대통령생가,사면,1
노무현대통령생가,재밌게,1
노무현대통령생가,안되어,1
노무현대통령생가,막사,1
노무현대통령생가,있어,1
노무현대통령생가,불쾌했었고,1
노무현대통령생가,식당,1
노무현대통령생가,파리,1
노무현대통령생가,많아,1
노무현대통령생가,불결했고,1
노무현대통령생가,묘지,1
노무현대통령생가,관리,1
노무현대통령생가,올렵니,1
다대어촌체험마을,다대,2
다대어촌체험마을,그게,2
다대어촌체험마을,직원,1
다대어촌체험마을,통영,1
다대어촌체험마을,없었네요,1
다대어촌체험마을,감상,1
다대어촌체험마을,자연,1
다대어촌체험마을,사진,1
다대어촌체험마을,그만하시라고,1
다대어촌체험마을,계속,1
다대어촌체험마을,주민,1
다대어촌체험마을,불친절했어요,1
다대어촌체험마을,관리자,1
다대어촌체험마을,아까,1
다대어촌체험마을,불친절,1
다대어촌체험마을,앙입니다,1
다대어촌체험마을,팬션,1
다대어촌체험마을,기부,1
다대어촌체험마을,불친절하여,1
다대어촌체험마을,딱이다,1
다대어촌체험마을,아기,1
다대어촌체험마을,좋아해서,1
다대어촌체험마을,천만다행,1
다대어촌체험마을,미만,1
다대어촌체험마을,운영,1
다대어촌체험마을,미숙,1
다대어촌체험마을,별로,1
다대어촌체험마을,없고,1
다대어촌체험마을,크기,1
다대어촌체험마을,작음,1
다대어촌체험마을,말랐음,1
다대어촌체험마을,졸라,1
다대어촌체험마을,좋아서,1
다대어촌체험마을,고함,1
다대어촌체험마을,불친절하고,1
다대어촌체험마을,쌈닭,1
다대어촌체험마을,확인,1
다대어촌체험마을,제대로,1
다대어촌체험마을,바닷가,1
다대어촌체험마을,야함,1
다대어촌체험마을,같은거,1
다대어촌체험마을,추가,1
다대어촌체험마을,간다,1
다대어촌체험마을,안된다고,1
다대어촌체험마을,장비,1
다대어촌체험마을,아니면서,1
다대어촌체험마을,비싸게,1
다대어촌체험마을,수확량,1
다대어촌체험마을,많긴,1
다대어촌체험마을,유일한,1
다대어촌체험마을,월산,1
다대어촌체험마을,회원,1
다대어촌체험마을,가라,1
다대어촌체험마을,산행,1
다대어촌체험마을,가시,1
다대어촌체험마을,신선,1
다대어촌체험마을,바람,1
다대어촌체험마을,언덕,1
다대어촌체험마을,휴양,1
다대어촌체험마을,버스,1
다대어촌체험마을,화장실,1
다대어촌체험마을,사용,1
다대어촌체험마을,여직원,1
다대어촌체험마을,노가다,1
대성동고분박물관,좀더,1
대성동고분박물관,다양한듯,1
대성동고분박물관,별로,1
만어사,언니,2
만어사,기대,2
만어사,실망,2
만어사,동생,2
만어사,사랑,1
만어사,정도,1
만어사,지고,1
만어사,굽이,1
만어사,골짜기,1
만어사,많음,1
만어사,좋은데,1
만어사,이면,1
만어사,목적,1
만어사,지대,1
만어사,굿트,1
만어사,그닥,1
만어사,수준,1
만어사,구경,1
만어사,암자,1
만어사,그냥,1
만어사,더크,1
만어사,노력,1
만어사,아름답고,1
만어사,여행,1
만어사,안된다고하면서,1
만어사,서기,1
만어사,홀로,1
만어사,절대로,1
목면시배유지,거리,1
목면시배유지,달리,1
목면시배유지,별로,1
목면시배유지,비싸고,1
목면시배유지,가격,1
목면시배유지,자녀,1
목면시배유지,있겠네요,1
목면시배유지,실망할,1
목면시배유지,없고,1
목면시배유지,사용,1
목면시배유지,좋았을걸,1
목면시배유지,가정,1
목면시배유지,지금,1
목면시배유지,많은,1
목면시배유지,의류,1
목면시배유지,감사,1
목면시배유지,있는것에,1
목면시배유지,선조,1
목면시배유지,임시,1
밀양영남루,별로,2
밀양영남루,음식,2
밀양영남루,관광지,2
밀양영남루,시위,2
밀양영남루,명승,1
밀양영남루,주차공간,1
밀양영남루,부족함,1
밀양영남루,간직,1
밀양영남루,남천,1
밀양영남루,관리,1
밀양영남루,단체,1
밀양영남루,날씨,1
밀양영남루,사실,1
밀양영남루,그냥,1
밀양영남루,그래요,1
밀양영남루,보통,1
밀양영남루,한국,1
밀양영남루,로서,1
밀양영남루,이유,1
밀양영남루,좌파,1
밀양영남루,잘되지,1
밀양영남루,대등,1
밀양영남루,송전탑,1
밀양영남루,많이하고,1
밀양영남루,이상한,1
밀양영남루,이쁘나,1
밀양영남루,위험합니다,1
밀양영남루,걷기,1
밀양영남루,나무,1
밀양영남루,대부분,1
밀양영남루,금지,1
밀양영남루,섭취,1
밀양영남루,광경,1
사명대사유적지,취지,1
사명대사유적지,좋으나,1
사명대사유적지,있었나요,1
사명대사유적지,고증,1
사명대사유적지,자문,1
사명대사유적지,복원,1
사명대사유적지,필요해,1
사명대사유적지,노력,1
사명대사유적지,집중,1
사명대사유적지,낭비,1
사명대사유적지,예산,1
사명대사유적지,전시,1
사명대사유적지,군데,1
사명대사유적지,유품,1
사명대사유적지,유물,1
사명대사유적지,지역,1
사명대사유적지,같은,1
사명대사유적지,빈약하고,1
사명대사유적지,내용물,1
사명대사유적지,조성,1
삼성궁,별로,4
삼성궁,안내,4
삼성궁,없고,3
삼성궁,높아요,2
삼성궁,비포장도로,2
삼성궁,길이,2
삼성궁,비쌈,2
삼성궁,계곡,2
삼성궁,비싸요,2
삼성궁,없는데,2
삼성궁,종교,2
삼성궁,차량,2
삼성궁,셔틀,2
삼성궁,설명,2
삼성궁,우회,2
삼성궁,야할,1
삼성궁,김다현,1
삼성궁,일지,1
삼성궁,힐링,1
삼성궁,개인,1
삼성궁,마이산,1
삼성궁,인공,1
삼성궁,주의,1
삼성궁,계속,1
삼성궁,엄청난,1
삼성궁,인위,1
삼성궁,같아,1
삼성궁,안좋았다,1
삼성궁,때문,1
삼성궁,좋았는데,1
삼성궁,보기,1
삼성궁,오진,1
삼성궁,유료,1
삼성궁,거기,1
삼성궁,많지,1
삼성궁,딱히,1
삼성궁,크기,1
삼성궁,신경,1
삼성궁,분명히,1
삼성궁,대해,1
삼성궁,방문자,1
삼성궁,유의,1
삼성궁,매화,1
삼성궁,마누라,1
삼성궁,의견,1
삼성궁,부족해,1
삼성궁,산성,1
삼성궁,차로,1
삼성궁,이동,1
삼성궁,아까웠음,1
삼성궁,갈수록,1
삼성궁,어뵤어,1
삼성궁,이도,1
삼성궁,아닌,1
삼성궁,변했어요,1
삼성궁,예전,1
삼성궁,비싸고,1
삼성궁,힘듬,1
삼성궁,요가,1
삼성궁,문제,1
삼성궁,표지판,1
삼성궁,멋졌으나,1
삼성궁,유지,1
삼성궁,관람,1
삼성궁,광양,1
삼성궁,공원,1
삼성궁,축제,1
삼성궁,차가,1
삼성궁,그다지,1
삼성궁,좋지,1
삼성궁,대한,1
삼성궁,없는,1
삼성궁,집착,1
삼성궁,신심,1
삼성궁,깊은,1
삼성궁,시선,1
삼성궁,건축물,1
삼성궁,마땅히,1
삼성궁,비쌉니다,1
삼성궁,영업,1
삼성궁,일반,1
삼성궁,만족하려,1
삼성궁,없어도,1
삼성궁,자리,1
삼성궁,있는데,1
삼성궁,진심,1
삼성궁,로라,1
삼성궁,통행,1
삼성궁,작은,1
삼성궁,주민,1
삼성궁,마을,1
삼성궁,악양,1
삼성궁,부족합니다,1
삼성궁,나빴어요,1
삼성궁,기분,1
삼성궁,고해,1
삼성궁,드라이브,1
삼성궁,한국,1
삼성궁,오후,1
삼성궁,전화,1
삼성궁,해도,1
삼성궁,전화하고,1
삼성궁,분도,1
삼성궁,야했습니다,1
삼성궁,대의,1
삼성궁,같은길,1
삼성궁,네비게이션,1
삼성궁,무리였어요,1
삼성궁,좁은,1
삼성궁,안된,1
삼성궁,포장,1
삼성궁,통제,1
삼성궁,통과,1
삼성궁,시킴,1
삼성궁,있는지,1
삼성궁,없는지,1
삼성궁,불편하다,1
삼성궁,라야,1
삼성궁,있지,1
삼성궁,네이버,1
삼성궁,겨울,1
삼성궁,어수선했어요,1
삼성궁,공사,1
