문서이름,,freq
강화전적지개소,고려,128
강화전적지개소,역사,107
강화전적지개소,궁지,73
강화전적지개소,외규장각,70
강화전적지개소,강화,67
강화전적지개소,강화도,47
강화전적지개소,궁궐,40
강화전적지개소,건물,34
강화전적지개소,좋은,31
강화전적지개소,장소,31
강화전적지개소,입장료,30
강화전적지개소,좋아요,24
강화전적지개소,산책,24
강화전적지개소,방문,23
강화전적지개소,조선시대,23
강화전적지개소,유적지,22
강화전적지개소,벚꽃,22
강화전적지개소,복원,20
강화전적지개소,생각,20
강화전적지개소,몽골,19
강화전적지개소,공부,19
강화전적지개소,한번,18
강화전적지개소,별로,16
강화전적지개소,주차장,16
강화전적지개소,고려시대,15
강화전적지개소,사용,15
강화전적지개소,주변,15
강화전적지개소,현재,15
강화전적지개소,궁터,15
강화전적지개소,성당,14
강화전적지개소,해설,14
강화전적지개소,고종,13
강화전적지개소,현장,13
강화전적지개소,소실,12
강화전적지개소,수도,12
강화전적지개소,몽고,12
강화전적지개소,조선,12
강화전적지개소,무료,12
강화전적지개소,설명,12
강화전적지개소,볼거리,12
강화전적지개소,구경,11
강화전적지개소,규모,11
강화전적지개소,많은,11
강화전적지개소,건립,11
강화전적지개소,침입,11
강화전적지개소,문화,11
강화전적지개소,근처,10
강화전적지개소,침략,10
강화전적지개소,개경,10
강화전적지개소,흔적,10
강화전적지개소,그냥,10
강화전적지개소,의미,9
강화전적지개소,좋습니다,9
강화전적지개소,있던,9
강화전적지개소,유수부,9
강화전적지개소,병인양요,9
강화전적지개소,있음,9
강화전적지개소,관아,9
강화전적지개소,걷기,9
강화전적지개소,모습,9
강화전적지개소,환도,9
강화전적지개소,관리,9
강화전적지개소,관람,9
강화전적지개소,왕궁,9
강화전적지개소,동헌,9
강화전적지개소,정도,9
강화전적지개소,조용하고,9
강화전적지개소,맛집,8
강화전적지개소,여행,8
강화전적지개소,이야기,8
강화전적지개소,정말,8
강화전적지개소,정궁,8
강화전적지개소,프랑스,8
강화전적지개소,개성,8
강화전적지개소,아름다운,8
강화전적지개소,성곽,7
강화전적지개소,나무,7
강화전적지개소,위해,7
강화전적지개소,좋고,7
강화전적지개소,크게,7
강화전적지개소,행궁,7
강화전적지개소,입구,7
강화전적지개소,아픈,7
강화전적지개소,다시,7
강화전적지개소,느낌,7
강화전적지개소,지금,7
강화전적지개소,추천,7
강화전적지개소,있어,7
강화전적지개소,보관,7
강화전적지개소,프랑스군,7
강화전적지개소,강화읍,7
강화전적지개소,문화재,7
강화전적지개소,가치,7
강화전적지개소,천도,7
강화전적지개소,자리,7
강화전적지개소,작은,7
강화전적지개소,마음,7
강화전적지개소,없어,6
강화전적지개소,공사,6
강화전적지개소,이후,6
강화전적지개소,보고,6
강화전적지개소,거리,6
강화전적지개소,가면,6
강화전적지개소,좀더,6
강화전적지개소,일부,6
강화전적지개소,전망,5
강화전적지개소,자료,5
강화전적지개소,필요,5
강화전적지개소,남아,5
강화전적지개소,북문,5
강화전적지개소,힐링,5
강화전적지개소,많지,5
강화전적지개소,주차,5
강화전적지개소,코로나,5
강화전적지개소,자주,5
강화전적지개소,아쉽다,5
강화전적지개소,이용,5
강화전적지개소,가볍게,5
강화전적지개소,굳이,5
강화전적지개소,유적,5
강화전적지개소,보수,5
강화전적지개소,방청,5
강화전적지개소,의궤,5
강화전적지개소,왕실,5
강화전적지개소,원종,5
강화전적지개소,없는,5
강화전적지개소,고목,5
강화전적지개소,아주,5
