문서이름,,freq
강화전적지개소,필요,3
강화전적지개소,추천,3
강화전적지개소,관람,2
강화전적지개소,있을,2
강화전적지개소,실망,2
강화전적지개소,굳이,2
강화전적지개소,힘듭니다,2
강화전적지개소,보수,2
강화전적지개소,별거,2
강화전적지개소,없어서,2
강화전적지개소,공터,2
강화전적지개소,조그만,2
강화전적지개소,이용,2
강화전적지개소,없는데,2
강화전적지개소,정말,2
강화전적지개소,정도,2
강화전적지개소,없어,1
강화전적지개소,관리,1
강화전적지개소,가라,1
강화전적지개소,있지만,1
강화전적지개소,계시다면,1
강화전적지개소,지인,1
강화전적지개소,없을,1
강화전적지개소,막상,1
강화전적지개소,오른쪽,1
강화전적지개소,인위,1
강화전적지개소,띠용,1
강화전적지개소,대회,1
강화전적지개소,헛갈리,1
강화전적지개소,용흥궁,1
강화전적지개소,가깝,1
강화전적지개소,학교,1
강화전적지개소,시행,1
강화전적지개소,고장,1
강화전적지개소,참여,1
강화전적지개소,오르막,1
강화전적지개소,위해,1
강화전적지개소,친구,1
강화전적지개소,폭염,1
강화전적지개소,때문,1
강화전적지개소,인지,1
강화전적지개소,북문,1
강화전적지개소,언덕,1
강화전적지개소,목적지,1
강화전적지개소,로드,1
강화전적지개소,완전,1
강화전적지개소,딱히,1
강화전적지개소,내용,1
강화전적지개소,부족하네요,1
강화전적지개소,스럽다,1
강화전적지개소,뭔가,1
강화전적지개소,느낌,1
강화전적지개소,아까,1
강화전적지개소,아쉬웠네요,1
강화전적지개소,있었던,1
강화전적지개소,자리,1
강화전적지개소,크게,1
강화전적지개소,보고,1
강화전적지개소,아픈,1
강화전적지개소,흔적,1
강화전적지개소,아니라고,1
강화전적지개소,썰렁하기만,1
강화전적지개소,없고,1
강화전적지개소,개도,1
강화전적지개소,스러웠음,1
강화전적지개소,구성,1
강화전적지개소,반찬,1
강화전적지개소,대비,1
강화전적지개소,가격,1
강화전적지개소,더해,1
강화전적지개소,조각,1
강화전적지개소,벽화,1
강화전적지개소,길가,1
강화전적지개소,도중,1
강화전적지개소,즐거웠지만,1
강화전적지개소,있음,1
강화전적지개소,기간,1
강화전적지개소,출구,1
강화전적지개소,기대,1
강화전적지개소,하니,1
강화전적지개소,부족했습니다,1
강화전적지개소,없습니다,1
강화전적지개소,아쉽다,1
강화전적지개소,아깝다,1
강화전적지개소,현실,1
강화전적지개소,관광지,1
강화전적지개소,우리나라,1
강화전적지개소,개발,1
강화전적지개소,대한,1
강화전적지개소,컨텐츠,1
강화전적지개소,좀더,1
강화전적지개소,빈약,1
강화전적지개소,이해,1
강화전적지개소,다다,1
강화전적지개소,옛날,1
강화전적지개소,공간,1
강화전적지개소,가운데,1
강화전적지개소,부족하고,1
강화전적지개소,시설,1
강화전적지개소,주차,1
강화전적지개소,왕릉,1
강화전적지개소,여러,1
강화전적지개소,있구요,1
강화전적지개소,좋아하실,1
강화전적지개소,사람,1
강화전적지개소,기준,1
강화전적지개소,넉넉할,1
강화전적지개소,의문,1
강화전적지개소,유료,1
강화전적지개소,같다는,1
강화전적지개소,공원,1
강화전적지개소,진심,1
강화전적지개소,먼길,1
강화전적지개소,허무함,1
강화전적지개소,아주,1
강화전적지개소,가득,1
강화전적지개소,잔디,1
강화전적지개소,넓지,1
강화전적지개소,보여줔디,1
강화전적지개소,도대체,1
강화전적지개소,공사,1
강화전적지개소,가림,1
강화전적지개소,지금,1
강화전적지개소,강화부,1
강화전적지개소,많아서,1
강화전적지개소,건축물,1
강화전적지개소,부여,1
강화전적지개소,의미,1
강화전적지개소,새로,1
강화전적지개소,좋아하시면,1
강화전적지개소,많습니다,1
강화전적지개소,높아서,1
강화전적지개소,계단,1
강화전적지개소,굉장히,1
강화전적지개소,부모님,1
강화전적지개소,없구요,1
강화전적지개소,달리,1
강화전적지개소,공용,1
강화전적지개소,강화성당,1
강화전적지개소,주말,1
강화전적지개소,없더군요,1
강화전적지개소,같은데,1
강화전적지개소,예전,1
강화전적지개소,볼꺼없슈,1
강화전적지개소,텅빈,1
검단선사박물관,학년,2
검단선사박물관,수리,2
검단선사박물관,협소,1
검단선사박물관,아파트,1
검단선사박물관,신안,1
검단선사박물관,신월,1
검단선사박물관,양천구,1
검단선사박물관,보라,1
검단선사박물관,없었고,1
검단선사박물관,판도,1
검단선사박물관,표시,1
검단선사박물관,안내,1
검단선사박물관,매우,1
검단선사박물관,괜찮을듯,1
검단선사박물관,주차공간,1
검단선사박물관,눈높이,1
검단선사박물관,약하며,1
검단선사박물관,주제가,1
검단선사박물관,없었습니다,1
검단선사박물관,중이,1
검단선사박물관,없다,1
검단선사박물관,재미없어,1
검단선사박물관,별로,1
검단선사박물관,소재,1
